#    L    TT             EE             BB             TE          
   271    0.48399E+04    0.44986E+01    0.21119E-01    0.92507E+02
   272    0.48131E+04    0.46245E+01    0.21255E-01    0.93706E+02
   273    0.47858E+04    0.47522E+01    0.21391E-01    0.94892E+02
   274    0.47583E+04    0.48822E+01    0.21527E-01    0.96040E+02
   275    0.47304E+04    0.50140E+01    0.21662E-01    0.97174E+02
   276    0.47023E+04    0.51478E+01    0.21796E-01    0.98271E+02
   277    0.46737E+04    0.52836E+01    0.21930E-01    0.99354E+02
   278    0.46449E+04    0.54214E+01    0.22064E-01    0.10040E+03
   279    0.46159E+04    0.55610E+01    0.22197E-01    0.10142E+03
   280    0.45865E+04    0.57025E+01    0.22329E-01    0.10242E+03
   281    0.45570E+04    0.58460E+01    0.22461E-01    0.10338E+03
   282    0.45270E+04    0.59911E+01    0.22592E-01    0.10432E+03
   283    0.44969E+04    0.61381E+01    0.22723E-01    0.10523E+03
   284    0.44666E+04    0.62869E+01    0.22854E-01    0.10611E+03
   285    0.44361E+04    0.64374E+01    0.22983E-01    0.10695E+03
   286    0.44053E+04    0.65897E+01    0.23113E-01    0.10777E+03
   287    0.43743E+04    0.67435E+01    0.23241E-01    0.10856E+03
   288    0.43431E+04    0.68991E+01    0.23369E-01    0.10931E+03
   289    0.43117E+04    0.70562E+01    0.23497E-01    0.11004E+03
   290    0.42802E+04    0.72147E+01    0.23623E-01    0.11073E+03
   291    0.42485E+04    0.73754E+01    0.23750E-01    0.11138E+03
   292    0.42164E+04    0.75372E+01    0.23875E-01    0.11201E+03
   293    0.41844E+04    0.76996E+01    0.24000E-01    0.11260E+03
   294    0.41521E+04    0.78642E+01    0.24125E-01    0.11316E+03
   295    0.41200E+04    0.80296E+01    0.24249E-01    0.11369E+03
   296    0.40875E+04    0.81970E+01    0.24372E-01    0.11418E+03
   297    0.40549E+04    0.83645E+01    0.24494E-01    0.11464E+03
   298    0.40222E+04    0.85341E+01    0.24616E-01    0.11506E+03
   299    0.39894E+04    0.87051E+01    0.24738E-01    0.11544E+03
   300    0.39565E+04    0.88761E+01    0.24859E-01    0.11579E+03
   301    0.39236E+04    0.90485E+01    0.24979E-01    0.11611E+03
   302    0.38906E+04    0.92216E+01    0.25098E-01    0.11640E+03
   303    0.38576E+04    0.93962E+01    0.25217E-01    0.11664E+03
   304    0.38245E+04    0.95722E+01    0.25335E-01    0.11684E+03
   305    0.37914E+04    0.97481E+01    0.25453E-01    0.11702E+03
   306    0.37582E+04    0.99248E+01    0.25569E-01    0.11715E+03
   307    0.37251E+04    0.10102E+02    0.25686E-01    0.11725E+03
   308    0.36919E+04    0.10282E+02    0.25801E-01    0.11732E+03
   309    0.36589E+04    0.10460E+02    0.25916E-01    0.11734E+03
   310    0.36257E+04    0.10639E+02    0.26030E-01    0.11733E+03
   311    0.35926E+04    0.10820E+02    0.26144E-01    0.11728E+03
   312    0.35596E+04    0.11000E+02    0.26257E-01    0.11720E+03
   313    0.35267E+04    0.11181E+02    0.26369E-01    0.11707E+03
   314    0.34937E+04    0.11363E+02    0.26481E-01    0.11692E+03
   315    0.34609E+04    0.11543E+02    0.26592E-01    0.11672E+03
   316    0.34281E+04    0.11725E+02    0.26702E-01    0.11649E+03
   317    0.33954E+04    0.11906E+02    0.26812E-01    0.11622E+03
   318    0.33628E+04    0.12088E+02    0.26921E-01    0.11591E+03
   319    0.33304E+04    0.12269E+02    0.27030E-01    0.11557E+03
   320    0.32981E+04    0.12451E+02    0.27138E-01    0.11520E+03
   321    0.32658E+04    0.12633E+02    0.27245E-01    0.11478E+03
   322    0.32337E+04    0.12814E+02    0.27351E-01    0.11433E+03
   323    0.32018E+04    0.12994E+02    0.27457E-01    0.11384E+03
   324    0.31700E+04    0.13176E+02    0.27563E-01    0.11331E+03
   325    0.31384E+04    0.13354E+02    0.27667E-01    0.11276E+03
   326    0.31069E+04    0.13534E+02    0.27771E-01    0.11215E+03
   327    0.30756E+04    0.13713E+02    0.27875E-01    0.11152E+03
   328    0.30446E+04    0.13891E+02    0.27978E-01    0.11086E+03
   329    0.30136E+04    0.14068E+02    0.28080E-01    0.11015E+03
   330    0.29829E+04    0.14245E+02    0.28182E-01    0.10941E+03
   331    0.29525E+04    0.14420E+02    0.28283E-01    0.10864E+03
   332    0.29223E+04    0.14595E+02    0.28384E-01    0.10784E+03
   333    0.28923E+04    0.14769E+02    0.28484E-01    0.10700E+03
   334    0.28625E+04    0.14943E+02    0.28583E-01    0.10613E+03
   335    0.28329E+04    0.15114E+02    0.28682E-01    0.10522E+03
   336    0.28036E+04    0.15284E+02    0.28781E-01    0.10428E+03
   337    0.27746E+04    0.15454E+02    0.28879E-01    0.10330E+03
   338    0.27458E+04    0.15621E+02    0.28976E-01    0.10229E+03
   339    0.27174E+04    0.15788E+02    0.29073E-01    0.10125E+03
