#    L    TT             EE             BB             TE             PP             TP             EP          
   169    0.48429E+04    0.87528E+00    0.00000E+00   -0.40307E+02    0.60451E-07    0.18842E-03   -0.68341E-06
   170    0.48696E+04    0.86502E+00    0.00000E+00   -0.39843E+02    0.60097E-07    0.18670E-03   -0.67961E-06
   171    0.48958E+04    0.85470E+00    0.00000E+00   -0.39352E+02    0.59746E-07    0.18501E-03   -0.67537E-06
   172    0.49216E+04    0.84425E+00    0.00000E+00   -0.38834E+02    0.59399E-07    0.18334E-03   -0.67061E-06
   173    0.49469E+04    0.83367E+00    0.00000E+00   -0.38290E+02    0.59054E-07    0.18169E-03   -0.66528E-06
   174    0.49719E+04    0.82324E+00    0.00000E+00   -0.37719E+02    0.58712E-07    0.18006E-03   -0.65931E-06
   175    0.49966E+04    0.81269E+00    0.00000E+00   -0.37122E+02    0.58374E-07    0.17846E-03   -0.65264E-06
   176    0.50207E+04    0.80222E+00    0.00000E+00   -0.36497E+02    0.58038E-07    0.17688E-03   -0.64523E-06
   177    0.50444E+04    0.79177E+00    0.00000E+00   -0.35847E+02    0.57706E-07    0.17532E-03   -0.63710E-06
   178    0.50677E+04    0.78155E+00    0.00000E+00   -0.35169E+02    0.57376E-07    0.17378E-03   -0.62827E-06
   179    0.50905E+04    0.77127E+00    0.00000E+00   -0.34465E+02    0.57049E-07    0.17226E-03   -0.61879E-06
   180    0.51130E+04    0.76115E+00    0.00000E+00   -0.33734E+02    0.56726E-07    0.17077E-03   -0.60867E-06
   181    0.51350E+04    0.75119E+00    0.00000E+00   -0.32979E+02    0.56405E-07    0.16929E-03   -0.59797E-06
   182    0.51565E+04    0.74146E+00    0.00000E+00   -0.32196E+02    0.56086E-07    0.16784E-03   -0.58671E-06
   183    0.51775E+04    0.73189E+00    0.00000E+00   -0.31387E+02    0.55771E-07    0.16640E-03   -0.57492E-06
   184    0.51981E+04    0.72254E+00    0.00000E+00   -0.30552E+02    0.55458E-07    0.16498E-03   -0.56265E-06
   185    0.52183E+04    0.71358E+00    0.00000E+00   -0.29693E+02    0.55148E-07    0.16358E-03   -0.54991E-06
   186    0.52376E+04    0.70485E+00    0.00000E+00   -0.28807E+02    0.54841E-07    0.16219E-03   -0.53675E-06
   187    0.52568E+04    0.69650E+00    0.00000E+00   -0.27896E+02    0.54536E-07    0.16082E-03   -0.52320E-06
   188    0.52755E+04    0.68852E+00    0.00000E+00   -0.26960E+02    0.54234E-07    0.15947E-03   -0.50929E-06
   189    0.52936E+04    0.68092E+00    0.00000E+00   -0.25999E+02    0.53935E-07    0.15814E-03   -0.49506E-06
   190    0.53115E+04    0.67378E+00    0.00000E+00   -0.25014E+02    0.53638E-07    0.15681E-03   -0.48054E-06
   191    0.53285E+04    0.66711E+00    0.00000E+00   -0.24003E+02    0.53344E-07    0.15551E-03   -0.46576E-06
   192    0.53452E+04    0.66093E+00    0.00000E+00   -0.22968E+02    0.53052E-07    0.15421E-03   -0.45076E-06
   193    0.53612E+04    0.65529E+00    0.00000E+00   -0.21910E+02    0.52763E-07    0.15294E-03   -0.43557E-06
   194    0.53769E+04    0.65021E+00    0.00000E+00   -0.20828E+02    0.52476E-07    0.15167E-03   -0.42022E-06
   195    0.53920E+04    0.64573E+00    0.00000E+00   -0.19723E+02    0.52191E-07    0.15041E-03   -0.40475E-06
   196    0.54066E+04    0.64189E+00    0.00000E+00   -0.18594E+02    0.51909E-07    0.14917E-03   -0.38919E-06
   197    0.54206E+04    0.63873E+00    0.00000E+00   -0.17444E+02    0.51630E-07    0.14794E-03   -0.37357E-06
