#    L    TT             EE             TE             PP             TP          
   160    0.45894E+04    0.95954E+00   -0.43306E+02    0.29400E+07    0.34754E+04
   161    0.46187E+04    0.95121E+00   -0.43076E+02    0.29225E+07    0.34431E+04
   162    0.46477E+04    0.94252E+00   -0.42820E+02    0.29053E+07    0.34112E+04
   163    0.46765E+04    0.93355E+00   -0.42539E+02    0.28881E+07    0.33797E+04
   164    0.47049E+04    0.92438E+00   -0.42232E+02    0.28711E+07    0.33485E+04
   165    0.47331E+04    0.91492E+00   -0.41899E+02    0.28543E+07    0.33177E+04
   166    0.47611E+04    0.90534E+00   -0.41540E+02    0.28376E+07    0.32873E+04
   167    0.47888E+04    0.89540E+00   -0.41156E+02    0.28211E+07    0.32572E+04
   168    0.48160E+04    0.88548E+00   -0.40745E+02    0.28046E+07    0.32275E+04
   169    0.48429E+04    0.87528E+00   -0.40307E+02    0.27884E+07    0.31982E+04
   170    0.48696E+04    0.86502E+00   -0.39843E+02    0.27722E+07    0.31692E+04
   171    0.48958E+04    0.85470E+00   -0.39352E+02    0.27562E+07    0.31406E+04
   172    0.49216E+04    0.84425E+00   -0.38834E+02    0.27404E+07    0.31124E+04
   173    0.49469E+04    0.83367E+00   -0.38290E+02    0.27247E+07    0.30846E+04
   174    0.49719E+04    0.82324E+00   -0.37719E+02    0.27091E+07    0.30571E+04
   175    0.49966E+04    0.81269E+00   -0.37122E+02    0.26937E+07    0.30301E+04
   176    0.50207E+04    0.80222E+00   -0.36497E+02    0.26783E+07    0.30034E+04
   177    0.50444E+04    0.79177E+00   -0.35847E+02    0.26632E+07    0.29770E+04
   178    0.50677E+04    0.78155E+00   -0.35169E+02    0.26481E+07    0.29511E+04
   179    0.50905E+04    0.77127E+00   -0.34465E+02    0.26332E+07    0.29254E+04
   180    0.51130E+04    0.76115E+00   -0.33734E+02    0.26184E+07    0.29002E+04
   181    0.51350E+04    0.75119E+00   -0.32979E+02    0.26038E+07    0.28752E+04
   182    0.51565E+04    0.74146E+00   -0.32196E+02    0.25892E+07    0.28506E+04
   183    0.51775E+04    0.73189E+00   -0.31387E+02    0.25748E+07    0.28263E+04
   184    0.51981E+04    0.72254E+00   -0.30552E+02    0.25605E+07    0.28023E+04
   185    0.52183E+04    0.71358E+00   -0.29693E+02    0.25464E+07    0.27786E+04
   186    0.52376E+04    0.70485E+00   -0.28807E+02    0.25323E+07    0.27552E+04
   187    0.52568E+04    0.69650E+00   -0.27896E+02    0.25184E+07    0.27321E+04
   188    0.52755E+04    0.68852E+00   -0.26960E+02    0.25046E+07    0.27093E+04
   189    0.52936E+04    0.68092E+00   -0.25999E+02    0.24909E+07    0.26867E+04
   190    0.53115E+04    0.67378E+00   -0.25014E+02    0.24773E+07    0.26643E+04
   191    0.53285E+04    0.66711E+00   -0.24003E+02    0.24639E+07    0.26423E+04
   192    0.53452E+04    0.66093E+00   -0.22968E+02    0.24505E+07    0.26204E+04
   193    0.53612E+04    0.65529E+00   -0.21910E+02    0.24373E+07    0.25988E+04
   194    0.53769E+04    0.65021E+00   -0.20828E+02    0.24242E+07    0.25773E+04
   195    0.53920E+04    0.64573E+00   -0.19723E+02    0.24112E+07    0.25561E+04
   196    0.54066E+04    0.64189E+00   -0.18594E+02    0.23983E+07    0.25351E+04
   197    0.54206E+04    0.63873E+00   -0.17444E+02    0.23855E+07    0.25143E+04
   198    0.54342E+04    0.63627E+00   -0.16271E+02    0.23728E+07    0.24937E+04
   199    0.54472E+04    0.63455E+00   -0.15077E+02    0.23602E+07    0.24732E+04
   200    0.54598E+04    0.63360E+00   -0.13861E+02    0.23477E+07    0.24529E+04
