#    L    TT             EE             TE
   272    0.48230E+04    0.45881E+01    0.94157E+02
   273    0.47957E+04    0.47160E+01    0.95356E+02
   274    0.47681E+04    0.48463E+01    0.96518E+02
   275    0.47402E+04    0.49784E+01    0.97666E+02
   276    0.47120E+04    0.51125E+01    0.98777E+02
   277    0.46833E+04    0.52487E+01    0.99873E+02
   278    0.46545E+04    0.53869E+01    0.10093E+03
   279    0.46253E+04    0.55269E+01    0.10196E+03
   280    0.45959E+04    0.56689E+01    0.10298E+03
   281    0.45663E+04    0.58128E+01    0.10396E+03
   282    0.45362E+04    0.59584E+01    0.10491E+03
   283    0.45060E+04    0.61059E+01    0.10583E+03
   284    0.44756E+04    0.62553E+01    0.10672E+03
   285    0.44450E+04    0.64064E+01    0.10758E+03
   286    0.44140E+04    0.65593E+01    0.10841E+03
   287    0.43829E+04    0.67138E+01    0.10921E+03
   288    0.43516E+04    0.68700E+01    0.10998E+03
   289    0.43201E+04    0.70278E+01    0.11072E+03
   290    0.42884E+04    0.71870E+01    0.11142E+03
   291    0.42566E+04    0.73485E+01    0.11209E+03
   292    0.42243E+04    0.75111E+01    0.11273E+03
   293    0.41922E+04    0.76743E+01    0.11333E+03
   294    0.41598E+04    0.78398E+01    0.11391E+03
   295    0.41275E+04    0.80060E+01    0.11444E+03
   296    0.40948E+04    0.81744E+01    0.11494E+03
   297    0.40621E+04    0.83428E+01    0.11542E+03
   298    0.40292E+04    0.85133E+01    0.11585E+03
   299    0.39963E+04    0.86854E+01    0.11624E+03
   300    0.39632E+04    0.88574E+01    0.11660E+03
   301    0.39301E+04    0.90309E+01    0.11693E+03
   302    0.38970E+04    0.92051E+01    0.11723E+03
   303    0.38637E+04    0.93808E+01    0.11749E+03
   304    0.38305E+04    0.95580E+01    0.11770E+03
   305    0.37972E+04    0.97351E+01    0.11788E+03
   306    0.37638E+04    0.99130E+01    0.11803E+03
   307    0.37305E+04    0.10092E+02    0.11813E+03
   308    0.36971E+04    0.10272E+02    0.11821E+03
   309    0.36638E+04    0.10452E+02    0.11824E+03
   310    0.36305E+04    0.10633E+02    0.11824E+03
   311    0.35972E+04    0.10815E+02    0.11820E+03
   312    0.35640E+04    0.10996E+02    0.11813E+03
   313    0.35308E+04    0.11179E+02    0.11801E+03
   314    0.34976E+04    0.11362E+02    0.11786E+03
   315    0.34645E+04    0.11544E+02    0.11767E+03
   316    0.34316E+04    0.11727E+02    0.11744E+03
   317    0.33986E+04    0.11909E+02    0.11718E+03
   318    0.33658E+04    0.12093E+02    0.11688E+03
   319    0.33331E+04    0.12276E+02    0.11654E+03
   320    0.33005E+04    0.12459E+02    0.11618E+03
   321    0.32681E+04    0.12643E+02    0.11577E+03
   322    0.32357E+04    0.12825E+02    0.11532E+03
   323    0.32035E+04    0.13008E+02    0.11484E+03
   324    0.31715E+04    0.13191E+02    0.11431E+03
   325    0.31397E+04    0.13371E+02    0.11376E+03
   326    0.31079E+04    0.13553E+02    0.11316E+03
   327    0.30764E+04    0.13733E+02    0.11253E+03
   328    0.30451E+04    0.13913E+02    0.11187E+03
   329    0.30139E+04    0.14092E+02    0.11116E+03
   330    0.29830E+04    0.14270E+02    0.11042E+03
   331    0.29523E+04    0.14448E+02    0.10965E+03
   332    0.29218E+04    0.14625E+02    0.10885E+03
   333    0.28915E+04    0.14801E+02    0.10802E+03
   334    0.28615E+04    0.14976E+02    0.10714E+03
   335    0.28316E+04    0.15149E+02    0.10623E+03
   336    0.28021E+04    0.15321E+02    0.10529E+03
   337    0.27728E+04    0.15493E+02    0.10431E+03
   338    0.27438E+04    0.15662E+02    0.10330E+03
   339    0.27151E+04    0.15832E+02    0.10226E+03
   340    0.26866E+04    0.15999E+02    0.10119E+03
   341    0.26583E+04    0.16164E+02    0.10008E+03
   342    0.26304E+04    0.16329E+02    0.98945E+02
   343    0.26028E+04    0.16491E+02    0.97777E+02
   344    0.25756E+04    0.16652E+02    0.96579E+02
   345    0.25486E+04    0.16810E+02    0.95352E+02
   346    0.25219E+04    0.16968E+02    0.94102E+02
   347    0.24956E+04    0.17123E+02    0.92816E+02
   348    0.24696E+04    0.17276E+02    0.91500E+02
   349    0.24439E+04    0.17427E+02    0.90154E+02
   350    0.24185E+04    0.17575E+02    0.88787E+02
   351    0.23937E+04    0.17722E+02    0.87389E+02
   352    0.23690E+04    0.17867E+02    0.85962E+02
   353    0.23448E+04    0.18009E+02    0.84521E+02
   354    0.23208E+04    0.18149E+02    0.83042E+02
   355    0.22973E+04    0.18286E+02    0.81541E+02
   356    0.22741E+04    0.18421E+02    0.80025E+02
   357    0.22513E+04    0.18554E+02    0.78480E+02
   358    0.22290E+04    0.18683E+02    0.76919E+02
   359    0.22069E+04    0.18809E+02    0.75329E+02
   360    0.21853E+04    0.18934E+02    0.73721E+02
   361    0.21640E+04    0.19055E+02    0.72089E+02
   362    0.21432E+04    0.19174E+02    0.70438E+02
   363    0.21227E+04    0.19290E+02    0.68768E+02
   364    0.21027E+04    0.19402E+02    0.67077E+02
   365    0.20831E+04    0.19512E+02    0.65370E+02
   366    0.20638E+04    0.19619E+02    0.63645E+02
   367    0.20451E+04    0.19722E+02    0.61903E+02
   368    0.20266E+04    0.19822E+02    0.60146E+02
   369    0.20087E+04    0.19920E+02    0.58372E+02
   370    0.19912E+04    0.20014E+02    0.56586E+02
   371    0.19740E+04    0.20104E+02    0.54784E+02
   372    0.19573E+04    0.20191E+02    0.52971E+02
   373    0.19410E+04    0.20275E+02    0.51144E+02
   374    0.19252E+04    0.20356E+02    0.49306E+02
   375    0.19097E+04    0.20433E+02    0.47458E+02
   376    0.18947E+04    0.20507E+02    0.45599E+02
   377    0.18802E+04    0.20577E+02    0.43732E+02
   378    0.18661E+04    0.20643E+02    0.41855E+02
   379    0.18524E+04    0.20706E+02    0.39971E+02
   380    0.18392E+04    0.20767E+02    0.38079E+02
   381    0.18264E+04    0.20820E+02    0.36182E+02
   382    0.18139E+04    0.20873E+02    0.34280E+02
   383    0.18020E+04    0.20921E+02    0.32371E+02
   384    0.17905E+04    0.20964E+02    0.30460E+02
   385    0.17794E+04    0.21006E+02    0.28545E+02
   386    0.17688E+04    0.21043E+02    0.26629E+02
   387    0.17586E+04    0.21076E+02    0.24710E+02
   388    0.17488E+04    0.21105E+02    0.22791E+02
   389    0.17394E+04    0.21128E+02    0.20872E+02
   390    0.17305E+04    0.21150E+02    0.18954E+02
   391    0.17220E+04    0.21168E+02    0.17037E+02
   392    0.17139E+04    0.21183E+02    0.15123E+02
   393    0.17063E+04    0.21193E+02    0.13212E+02
   394    0.16991E+04    0.21200E+02    0.11306E+02
